id,title,summary
1,Transformer Architecture,The Transformer is a neural network architecture introduced in 2017 that uses self-attention mechanisms and is foundational for modern LLMs.
2,Self-Attention,Self-attention allows models to weigh the importance of different words in a sequence, enabling context-aware representations.
3,Pretraining,Pretraining involves training a model on large unlabeled text corpora to learn general language patterns before fine-tuning.
4,Fine-Tuning,Fine-tuning adapts a pretrained model to a specific task or dataset, improving performance on targeted applications.
5,OpenAI,OpenAI is an AI research lab known for developing GPT series and advancing LLM research.
6,GPT-3,GPT-3 is a 175 billion parameter language model developed by OpenAI, capable of generating human-like text.
7,GPT-4,GPT-4 is a more advanced version of GPT-3, with improved reasoning, safety, and multimodal capabilities.
8,BERT,BERT (Bidirectional Encoder Representations from Transformers) is a model by Google designed for understanding context in both directions.
9,RoBERTa,RoBERTa is a robustly optimized BERT approach, improving performance by training longer and with more data.
10,T5,T5 (Text-to-Text Transfer Transformer) frames all NLP tasks as text-to-text problems, enabling flexible applications.
11,Prompt Engineering,Prompt engineering is the practice of designing input prompts to elicit desired outputs from LLMs.
12,Zero-Shot Learning,Zero-shot learning allows models to perform tasks without explicit task-specific training data.
13,Few-Shot Learning,Few-shot learning enables models to generalize from a small number of examples provided in the prompt.
14,Tokenization,Tokenization is the process of splitting text into smaller units (tokens) for model processing.
15,Byte Pair Encoding,Byte Pair Encoding (BPE) is a subword tokenization technique used in many LLMs.
16,Attention Heads,Attention heads are components in transformers that learn different aspects of relationships in data.
17,Layer Normalization,Layer normalization stabilizes and accelerates training by normalizing activations within layers.
18,Positional Encoding,Positional encoding injects information about word order into transformer models.
19,Masked Language Modeling,Masked language modeling is a pretraining objective where some tokens are hidden and the model predicts them.
20,Next Sentence Prediction,Next sentence prediction is a task where the model predicts if one sentence follows another, used in BERT.
21,Sequence-to-Sequence,Seq2Seq models map input sequences to output sequences, useful for translation and summarization.
22,Text Generation,Text generation is the process of producing coherent text given a prompt or context.
23,Language Modeling,Language modeling involves predicting the next word in a sequence, a core task for LLMs.
24,Context Window,The context window is the maximum number of tokens a model can consider at once.
25,Parameter Count,Parameter count refers to the number of trainable weights in a model, often in billions for LLMs.
26,Scaling Laws,Scaling laws describe how model performance improves with more data, parameters, and compute.
27,Data Curation,Data curation is the process of collecting and cleaning datasets for training LLMs.
28,Common Crawl,Common Crawl is a large web dataset frequently used for training LLMs.
29,Supervised Fine-Tuning,Supervised fine-tuning uses labeled data to adapt LLMs to specific tasks.
30,Reinforcement Learning from Human Feedback,RLHF is a technique where models are trained using feedback from human evaluators.
31,Alignment,Alignment ensures that LLMs behave in ways consistent with human values and intentions.
32,Hallucination,Hallucination refers to LLMs generating plausible but incorrect or fabricated information.
33,Prompt Injection,Prompt injection is an attack where malicious prompts manipulate model outputs.
34,Chain-of-Thought,Chain-of-thought prompting encourages models to reason step by step for complex tasks.
35,Multimodal Models,Multimodal models process and generate multiple data types, such as text and images.
36,Vision Transformers,Vision Transformers (ViT) apply transformer architectures to image data.
37,Open Source LLMs,Open source LLMs like LLaMA and GPT-Neo are publicly available for research and development.
38,LLaMA,LLaMA is a family of open-source LLMs developed by Meta AI.
39,GPT-Neo,GPT-Neo is an open-source GPT-like model developed by EleutherAI.
40,EleutherAI,EleutherAI is a collective focused on open-source LLM research and development.
41,Token Limit,Token limit is the maximum number of tokens a model can process in a single input.
42,Inference,Inference is the process of generating outputs from a trained model given new inputs.
43,Latency,Latency refers to the time taken for a model to produce an output.
44,Throughput,Throughput is the number of requests a model can handle per unit time.
45,Quantization,Quantization reduces model size and speeds up inference by using lower-precision arithmetic.
46,Distillation,Distillation transfers knowledge from a large model (teacher) to a smaller one (student).
47,Pruning,Pruning removes unnecessary weights from a model to improve efficiency.
48,Transfer Learning,Transfer learning leverages knowledge from one task to improve performance on another.
49,Ethics in AI,Ethics in AI addresses moral issues in the development and deployment of LLMs.
